speaker,trial,target_colour_textgrid,target_name_textgrid,colour_start,colour_end,colour_dur,item_start,item_end,item_dur,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
MS,68,braunen,walnuss,379.6972,380.1172,0.4200000000000159,380.1172,380.6272,0.5099999999999909,NF,typical,Walnuss,braun,Bueroklammer,braun,Sonnenbrille,orange,Socken,gruen,walnut,brown,97.45544554455444,11.250355329922026,100
MS,70,gruenen,bohnen,388.795,389.185,0.38999999999998636,389.185,389.505,0.3199999999999932,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Waescheklammer,rot,Socken,gelb,beans,green,96.81188118811882,7.065002294815097,100
MZ,3,gruenen,tomate,15.0882,15.4982,0.41000000000000014,15.4982,16.0782,0.5799999999999983,NF,medium,Tomate,gruen,Socken,gruen,Waescheklammer,braun,Waescheklammer,orange,tomato,green,25.99009900990099,28.510522636214493,18
MZ,4,braunen,walnuss,19.0022,19.5122,0.5100000000000016,19.5122,20.0822,0.5700000000000003,NF,typical,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,gelb,Bueroklammer,gelb,walnut,brown,97.45544554455444,11.250355329922026,100
MZ,6,orangen,kartoffeln,28.5194,29.1394,0.6199999999999974,29.1394,29.8294,0.6900000000000013,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Sonnenbrille,rot,Waescheklammer,braun,potatoes,orange,38.851485148514854,33.05370966733201,31
MZ,8,gelben,erbsen,40.4119,40.7719,0.35999999999999943,40.7719,41.3219,0.5499999999999972,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Avokado,rot,Bueroklammer,orange,peas,yellow,34.57425742574257,33.063377484659206,27
MZ,9,orangen,trauben,44.432,45.092,0.6599999999999966,45.092,45.572,0.480000000000004,NF,atypical,Trauben,orange,Waescheklammer,orange,Aubergine,gruen,Sonnenbrille,rot,grapes,orange,5.871287128712871,14.374048397258605,0
MZ,13,gelben,kirsche,67.0444,67.4744,0.4300000000000068,67.4744,67.9144,0.4399999999999977,NF,atypical,Kirsche,gelb,Socken,gelb,Avokado,gruen,Zucchini,gruen,cherry,yellow,1.386138613861386,3.9848972308698327,0
MZ,16,roten,aprikose,82.203,82.603,0.3999999999999915,82.603,83.303,0.7000000000000028,NF,medium,Aprikose,rot,Bueroklammer,rot,Zucchini,gruen,Avokado,gruen,apricot,red,33.148514851485146,32.654061351878994,25
MZ,19,roten,erdbeere,98.0577,98.4077,0.3500000000000085,98.4077,98.9477,0.539999999999992,NF,typical,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,orange,Bueroklammer,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
MZ,22,gruenen,bohnen,113.0085,113.3985,0.39000000000000057,113.3985,113.7785,0.37999999999999545,NF,typical,Bohnen,gruen,Bueroklammer,gruen,Zucchini,gelb,Waescheklammer,gelb,beans,green,96.81188118811882,7.065002294815097,100
